,BBLE,BLOCK,LOT,EASEMENT,OWNER,BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,STADDR,ZIP,EXMPTCL,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,EXCD2,PERIOD,YEAR,VALTYPE,manhattan_score,euclidean_score,autoencoder_score,weighted_score
690542,1012890014,1289,14,,ELI ACQUISITION LLC,O4,4,200,212,43.0,442000000,38475000,198900000,0,0,,512 MADISON AVENUE,10022.0,,179,230,38475000.0,177471000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
693857,2055100001,5510,1,,SILVER BEACH GARDENS,A8,1D,220,346,1.0,7700000,168537,308251,55049,55049,1010.0,SILVER BEACH,10465.0,,16,30,,,,,1015.0,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
694876,4017870020,1787,20,,,Q6,4,1700,1635,6.0,1223500000,110025000,550575000,110025000,550575000,2500.0,123-01 ROOSEVELT AVENUE,11368.0,,800,170,95245199.0,547348274.0,95245199.0,547348274.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
697484,1013049001,1304,9001,,HLT NY WALDORF LLC,H1,4,200,405,43.0,418888888,96750000,188500000,0,0,,301 PARK AVENUE,10022.0,,200,405,79200000.0,197753000.0,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
698665,1017440001E,1744,1,E,NYC HIGHWAYS,V9,4,990,261,,747000,336150,336150,336150,336150,2262.0,,,X1,0,0,219240.0,219240.0,219240.0,219240.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
698992,4151000100,15100,100,,UNITED STATES OF AMER,V9,4,2875,922,,212000000,95400000,95400000,95400000,95400000,4600.0,159 STREET,,X1,0,0,50634000.0,50634000.0,50634000.0,50634000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
700056,4102590001F,10259,1,F,CITY OF NY BORO PRES,U9,3,15,182,,0,0,0,0,0,,109 AVENUE,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
700399,1000160221,16,221,,TRIBEES NORTH END LLC,D8,2,73,135,25.0,39400000,2250000,17730000,2250000,17730000,6800.0,201 WARREN STREET,10282.0,,135,179,2250000.0,17433000.0,2250000.0,17433000.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
701014,4160890012G,16089,12,G,CITY OF NEW YORK,U7,3,60,186,,0,0,0,0,0,,BEACH 74 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
704276,1018190015E,1819,15,E,CONSOLIDATED EDISON,U9,3,7,95,,0,0,0,0,0,,WARDS ISLAND,10035.0,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
707315,1006910037E,691,37,E,CONRAIL,U6,3,0,0,,0,0,0,0,0,,WEST 20 STREET,,,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
708539,1012651072,1265,1072,,NBC TRUST NO. 1996A,R5,4,0,0,70.0,130784,14267,58853,14267,58853,2500.0,30 ROCKEFELLER PLAZA,10020.0,,0,0,14267.0,51224.0,14267.0,51224.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
710410,4152000100,15200,100,,PARKS AND RECREATION,V1,4,2776,1504,,390240000,175608000,175608000,175608000,175608000,2202.0,159 STREET,,X1,0,0,73575900.0,73575900.0,73575900.0,73575900.0,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
711851,4158550090G,15855,90,G,CITY OF NEW YORK,U1,3,0,0,,0,0,0,0,0,,EDGEMERE AVENUE,,X1,0,0,,,,,,FINAL,2010/11,AC-TR,1000,1000,1000,1000.0
